min	03A	06A	13A	27A	33E	36B	46A	34A	39A	43A	29A	06B	07B	36A
0	0	0	0	0	0.000375	0	0	0.000375	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0.00025	0	0	0	0.00025	0	0	0	0	0	0	0	0
15	0	0.00025	0	0	0	0.00025	0	0	0	0	0	0	0.000375	0
20	0	0.00025	0	0	0	0.00025	0	0	0	0	0	0	0.000375	0
25	0	0.00025	0	0	0	0.00025	0	0	0	0	0	0	0.000375	0
30	0	0.00025	0	0	0	0.00025	0	0	0	0	0.0005	0	0.000375	0
35	0	0.00025	0	0	0	0.00025	0	0	0	0	0.0005	0	0.000375	0
40	0	0.00025	0	0	0	0.00025	0	0	0	0	0.001	0	0.000375	0
45	0	0.00075	0	0	0	0.00025	0	0	0	0	0.0005	0	0	0
50	0	0.00075	0	0	0	0.00025	0	0	0	0	0.0005	0	0	0
55	0	0.00075	0	0	0	0.00025	0	0	0	0	0.0005	0	0	0
60	0	0.00075	0	0	0	0.00025	0	0	0	0	0.0005	0	0	0
65	0	0.00075	0	0	0	0.00025	0.0005	0	0	0	0.001	0	0	0
70	0	0.00075	0	0.0005	0	0.00025	0.0005	0	0	0	0.0005	0	0.000375	0
75	0	0.00075	0	0.0005	0	0.00025	0.0005	0	0	0	0.0005	0	0	0
80	0	0.00075	0	0.0005	0	0.00025	0.0005	0	0	0	0.001	0	0	0
85	0	0.00125	0	0.0005	0	0.00025	0.0005	0	0	0	0.001	0	0.000375	0
90	0	0.00125	0	0.0005	0	0.00075	0.0005	0	0	0.0005	0.001	0	0.000375	0
95	0	0.00125	0	0.0005	0	0.00075	0.0005	0	0	0.001	0.001	0	0.000375	0
100	0	0.00125	0	0.001	0	0.00075	0.0005	0	0.0005	0.001	0.001	0	0.000375	0
105	0	0.00125	0	0.001	0	0.00075	0.0005	0	0.0005	0.001	0.001	0	0.000375	0
110	0	0.00125	0	0.001	0	0.00075	0.0005	0	0.0005	0.001	0.001	0	0.000375	0
115	0	0.00125	0	0.001	0	0.00075	0.0005	0	0.0005	0.001	0.001	0	0	0
120	0	0.00125	0	0.001	0	0.00075	0.0005	0	0.0005	0.001	0.001	0	0.000375	0
125	0	0.00125	0	0.001	0	0.00075	0.0005	0	0.0005	0.001	0.001	0	0.000375	0
130	0	0.00175	0	0.0015	0	0.00125	0.0005	0	0.001	0.001	0.001	0	0	0
135	0	0.00125	0	0.0015	0	0.00125	0.0005	0	0.001	0.001	0.001	0	0	0
140	0	0.00175	0	0.0015	0	0.00125	0.0005	0	0.001	0.001	0.001	0	0	0
