	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0.000	0.008	0.427	0.107	0.201	0.210	0.239	0.303	0.351	0.252	0.290	0.470	0.303	0.363	0.419	0.393	0.175	0.419	0.312	0.098	0.184	0.274	0.133	0.056	0.017	0.726	0.796	0.692	0.790	1.111	1.159	1.175	1.278	1.146	1.159	1.303	1.146	1.060	1.162	0.770
21B	0.008	0.000	0.436	0.115	0.192	0.218	0.231	0.295	0.359	0.244	0.282	0.462	0.295	0.372	0.410	0.385	0.167	0.410	0.321	0.090	0.192	0.282	0.141	0.064	0.026	0.718	0.788	0.683	0.782	1.103	1.150	1.167	1.269	1.138	1.151	1.295	1.138	1.051	1.154	0.761
20A	0.427	0.436	0.000	0.321	0.628	0.218	0.667	0.731	0.077	0.679	0.718	0.897	0.731	0.064	0.846	0.821	0.603	0.846	0.115	0.526	0.244	0.154	0.295	0.372	0.410	1.154	1.224	1.119	1.218	1.538	1.586	1.603	1.705	1.574	1.587	1.731	1.574	1.487	1.590	1.197
17A	0.107	0.115	0.321	0.000	0.308	0.103	0.346	0.410	0.244	0.359	0.397	0.577	0.410	0.256	0.526	0.500	0.282	0.526	0.205	0.205	0.077	0.167	0.026	0.051	0.090	0.833	0.903	0.799	0.897	1.218	1.266	1.282	1.385	1.253	1.266	1.410	1.253	1.167	1.269	0.877
24A	0.201	0.192	0.628	0.308	0.000	0.410	0.038	0.103	0.551	0.051	0.090	0.269	0.103	0.564	0.218	0.192	0.026	0.218	0.513	0.103	0.385	0.474	0.333	0.256	0.218	0.526	0.595	0.491	0.590	0.910	0.958	0.974	1.077	0.946	0.959	1.103	0.946	0.859	0.962	0.569
39C	0.210	0.218	0.218	0.103	0.410	0.000	0.449	0.513	0.141	0.462	0.500	0.679	0.513	0.154	0.628	0.603	0.385	0.628	0.103	0.308	0.026	0.064	0.077	0.154	0.192	0.936	1.006	0.901	1.000	1.321	1.368	1.385	1.487	1.356	1.369	1.513	1.356	1.269	1.372	0.979
14B	0.239	0.231	0.667	0.346	0.038	0.449	0.000	0.064	0.590	0.013	0.051	0.231	0.064	0.603	0.179	0.154	0.064	0.179	0.551	0.141	0.423	0.513	0.372	0.295	0.256	0.487	0.557	0.452	0.551	0.872	0.919	0.936	1.038	0.907	0.920	1.064	0.907	0.821	0.923	0.530
16A	0.303	0.295	0.731	0.410	0.103	0.513	0.064	0.000	0.654	0.051	0.013	0.167	0.000	0.667	0.115	0.090	0.128	0.115	0.615	0.205	0.487	0.577	0.436	0.359	0.321	0.423	0.493	0.388	0.487	0.808	0.855	0.872	0.974	0.843	0.856	1.000	0.843	0.756	0.859	0.466
46B	0.351	0.359	0.077	0.244	0.551	0.141	0.590	0.654	0.000	0.603	0.641	0.821	0.654	0.013	0.769	0.744	0.526	0.769	0.038	0.449	0.167	0.077	0.218	0.295	0.333	1.077	1.147	1.042	1.141	1.462	1.509	1.526	1.628	1.497	1.510	1.654	1.497	1.410	1.513	1.120
19A	0.252	0.244	0.679	0.359	0.051	0.462	0.013	0.051	0.603	0.000	0.038	0.218	0.051	0.615	0.167	0.141	0.077	0.167	0.564	0.154	0.436	0.526	0.385	0.308	0.269	0.474	0.544	0.440	0.538	0.859	0.907	0.923	1.026	0.894	0.907	1.051	0.894	0.808	0.910	0.518
06C	0.290	0.282	0.718	0.397	0.090	0.500	0.051	0.013	0.641	0.038	0.000	0.179	0.013	0.654	0.128	0.103	0.115	0.128	0.603	0.192	0.474	0.564	0.423	0.346	0.308	0.436	0.506	0.401	0.500	0.821	0.868	0.885	0.987	0.856	0.869	1.013	0.856	0.769	0.872	0.479
02A	0.470	0.462	0.897	0.577	0.269	0.679	0.231	0.167	0.821	0.218	0.179	0.000	0.167	0.833	0.051	0.077	0.295	0.051	0.782	0.372	0.654	0.744	0.603	0.526	0.487	0.256	0.326	0.222	0.321	0.641	0.689	0.705	0.808	0.676	0.689	0.833	0.676	0.590	0.692	0.300
