focal.strain	int.id	i.int	j.int	outcome	score.d	score.o	dom.score	psim	pdist	tdist1	tdist2	tdist3	tdist4	i.clade	j.clade	WB	self	RI	RNI	ASYM	SUM
10A	20A	0	1	10A	2	1	1	100	0	0.000142706	470.1581281	0.0304959	172.5152733	Psyr	Psyr	W	0	0	0	1	1
10A	21B	0	0	RNI	2	0	0	100	0	0.00014707	98.35514762	0.040658723	56.94468261	Psyr	Psyr	W	0	0	1	0	1
10A	17A	1	0	17A	1	0	-1	99.9	0.1	7.91E-05	880.6991874	0.26929856	661.1111591	Psyr	Psyr	W	0	0	0	1	1
10A	39C	0	1	10A	2	1	1	99.5	0.5	2.79E-05	236.874998	0.16296702	95.76558167	Psyr	Psyr	W	0	0	0	1	1
10A	16A	1	0	16A	1	0	-1	99.3	0.7	7.86E-05	398.0208992	0.006296569	169.7669241	Psyr	Psyr	W	0	0	0	1	1
10A	14B	1	0	14B	1	0	-1	99.3	0.7	4.64E-05	309.0908866	0.029206439	80.46781429	Psyr	Psyr	W	0	0	0	1	1
10A	46B	0	0	RNI	2	0	0	91.1	8.9	7.30E-05	414.4446155	0.205821397	152.4259597	Psyr	Psyr	W	0	0	1	0	1
10A	02A	1	0	02A	1	0	-1	91.7	8.3	0.000347347	118.6623786	0.111524103	176.5995072	Psyr	Psyr	W	0	0	0	1	1
10A	08A	1	0	08A	1	0	-1	91.7	8.3	0.000310071	954.9093466	0.117007287	83.85697342	Psyr	Psyr	W	0	0	0	1	1
10A	06C	1	0	06C	1	0	-1	91.7	8.3	0.000267316	870.3672348	0.104269277	91.08624026	Psyr	Psyr	W	0	0	0	1	1
10A	4326	0	2	10A	2	2	2	91.7	8.3	0.000105531	534.4767716	0.400500609	573.4050529	Psyr	Psyr	W	0	0	0	1	1
10A	19A	0	0	RNI	2	0	0	91.8	8.2	0.000420775	1137.282663	0.17798337	26.04459071	Psyr	Psyr	W	0	0	1	0	1
10A	07A	1	0	07A	1	0	-1	90.1	9.9	0.000309975	690.9395487	0.1572717	65.74884266	Psyr	Psyr	W	0	0	0	1	1
10A	22D	1	0	22D	1	0	-1	90	10	0.000168357	410.2781126	0.18960073	175.4944131	Psyr	Psyr	W	0	0	0	1	1
10A	22B	1	0	22B	1	0	-1	90	10	0.000300376	480.0986258	0.134882855	78.59504807	Psyr	Psyr	W	0	0	0	1	1
10A	26B	1	0	26B	1	0	-1	90.4	9.6	0.00036149	603.432097	0.074614734	112.4096401	Psyr	Psyr	W	0	0	0	1	1
10A	22C	1	0	22C	1	0	-1	86.1	13.9	NA	NA	NA	NA	Psyr	Psyr	W	0	0	0	1	1
10A	39F	0	2	10A	2	2	2	86.5	13.5	0.000116016	1004.415567	0.513229516	818.2567145	Psyr	Psyr	W	0	0	0	1	1
10A	08C	0	2	10A	2	2	2	86.2	13.8	0.000147766	1108.783358	0.23350118	651.6106861	Psyr	Psyr	W	0	0	0	1	1
10A	23A	1	2	10A	1	2	1	86.3	13.7	0.000147563	943.6500727	0.519324316	807.0140794	Psyr	Psyr	W	0	0	0	1	1
10A	24C	1	1	RI	1	1	0	86.4	13.6	3.58E-05	851.8062729	0.102163921	419.6040149	Psyr	Psyr	W	0	1	0	0	1
10A	21A	1	1	RI	1	1	0	86.7	13.3	0.000107987	528.55332	0.152698269	274.0336055	Psyr	Psyr	W	0	1	0	0	1
10A	20B	1	1	RI	1	1	0	86.7	13.3	8.95E-05	174.4838327	0.140025128	206.6025479	Psyr	Psyr	W	0	1	0	0	1
10A	08B	2	0	08B	0	0	-2	85.7	14.3	0.000913427	519.635977	0.103194048	486.6785039	Psyr	Psyr	W	0	0	0	1	1
10A	36A	2	0	36A	0	0	-2	85.2	14.8	0.000440212	692.8214741	0.063949015	103.7593796	Psyr	Pflu	B	0	0	0	1	1
10A	06B	2	0	06B	0	0	-2	85.2	14.8	0.000581474	585.4927647	0.001133093	223.9627225	Psyr	Pflu	B	0	0	0	1	1
10A	07B	2	0	07B	0	0	-2	85.2	14.8	0.000436281	480.8787657	0.099178206	60.14493081	Psyr	Pflu	B	0	0	0	1	1
10A	43A	2	0	43A	0	0	-2	85.2	14.8	0.000307605	1023.300651	0.066590502	71.56365859	Psyr	Pflu	B	0	0	0	1	1
10A	29A	2	0	29A	0	0	-2	85	15	0.00046235	901.3777727	0.017322525	273.3610435	Psyr	Pflu	B	0	0	0	1	1
