	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0	98.35514762	470.1581281	880.6991874	57.15659428	236.874998	309.0908866	398.0208992	414.4446155	1137.282663	870.3672348	118.6623786	954.9093466	534.4767716	410.2781126	690.9395487	480.0986258	603.432097	1004.415567	NA	1108.783358	943.6500727	851.8062729	528.55332	174.4838327	519.635977	692.8214741	480.8787657	585.4927647	1023.300651	901.3777727	1041.373897	998.1990279	1136.911596	1140.390473	1161.700742	1084.63616	1022.764815	1042.124887	787.4568658
21B	98.35514762	0	568.5132758	979.054335	41.19855334	335.2301457	407.4460342	496.3760468	316.0894679	1038.927515	968.7223824	20.30723097	856.554199	436.121624	311.922965	592.5844011	381.7434782	505.0769494	906.0604195	NA	1207.138505	845.2949251	950.1614205	626.9084676	76.12868507	617.9911246	594.4663265	382.5236181	487.1376171	924.9455031	803.0226251	943.0187496	899.8438803	1038.556449	1042.035325	1063.345594	986.2810126	924.4096678	943.7697391	689.1017182
20A	470.1581281	568.5132758	0	410.5410593	527.3147224	233.2831301	161.0672416	72.13722898	884.6027436	1607.440791	400.2091066	588.8205067	1425.067475	1004.6349	880.4362407	1161.097677	950.2567539	1073.590225	1474.573695	NA	638.6252294	1413.808201	381.6481448	58.39519185	644.6419608	49.47784888	1162.979602	951.0368939	1055.650893	1493.458779	1371.535901	1511.532025	1468.357156	1607.069724	1610.548601	1631.85887	1554.794288	1492.922944	1512.283015	1257.614994
17A	880.6991874	979.054335	410.5410593	0	937.8557817	643.8241894	571.6083008	482.6782882	1295.143803	2017.98185	10.33195261	999.361566	1835.608534	1415.175959	1290.9773	1571.638736	1360.797813	1484.131284	1885.114754	NA	228.0841702	1824.34926	28.89291451	352.1458674	1055.18302	361.0632104	1573.520662	1361.577953	1466.191952	1903.999838	1782.07696	1922.073085	1878.898215	2017.610784	2021.08966	2042.399929	1965.335348	1903.464003	1922.824074	1668.156053
24A	57.15659428	41.19855334	527.3147224	937.8557817	0	294.0315923	366.2474808	455.1774934	357.2880212	1080.126069	927.5238291	61.50578432	897.7527524	477.3201774	353.1215183	633.7829544	422.9420315	546.2755027	947.2589728	NA	1165.939952	886.4934784	908.9628672	585.7099143	117.3272384	576.7925713	635.6648798	423.7221714	528.3361704	966.1440564	844.2211784	984.2173029	941.0424336	1079.755002	1083.233879	1104.544148	1027.479566	965.6082211	984.9682924	730.3002715
39C	236.874998	335.2301457	233.2831301	643.8241894	294.0315923	0	72.21588851	161.1459011	651.3196135	1374.157661	633.4922367	355.5373766	1191.784345	771.3517697	647.1531106	927.8145467	716.9736238	840.307095	1241.290565	NA	871.9083595	1180.525071	614.9312748	291.6783219	411.3588307	282.760979	929.6964722	717.7537638	822.3677628	1260.175649	1138.252771	1278.248895	1235.074026	1373.786594	1377.265471	1398.57574	1321.511158	1259.639813	1278.999885	1024.331864
14B	309.0908866	407.4460342	161.0672416	571.6083008	366.2474808	72.21588851	0	88.9300126	723.535502	1446.373549	561.2763482	427.7532652	1264.000233	843.5676582	719.3689991	1000.030435	789.1895123	912.5229835	1313.506454	NA	799.692471	1252.740959	542.7153863	219.4624334	483.5747192	210.5450905	1001.912361	789.9696523	894.5836513	1332.391537	1210.468659	1350.464784	1307.289914	1446.002483	1449.481359	1470.791629	1393.727047	1331.855702	1351.215773	1096.547752
16A	398.0208992	496.3760468	72.13722898	482.6782882	455.1774934	161.1459011	88.9300126	0	812.4655146	1535.303562	472.3463356	516.6832778	1352.930246	932.4976708	808.2990117	1088.960448	878.1195249	1001.452996	1402.436466	NA	710.7624584	1341.670972	453.7853737	130.5324208	572.5047318	121.6150779	1090.842373	878.8996649	983.5136639	1421.32155	1299.398672	1439.394796	1396.219927	1534.932495	1538.411372	1559.721641	1482.657059	1420.785715	1440.145786	1185.477765
46B	414.4446155	316.0894679	884.6027436	1295.143803	357.2880212	651.3196135	723.535502	812.4655146	0	722.8380473	1284.81185	295.7822369	540.4647312	120.0321561	4.166502909	276.4949332	65.6540103	188.9874815	589.9709516	NA	1523.227973	529.2054572	1266.250888	942.9979355	239.9607828	934.0805925	278.3768586	66.43415024	171.0481492	608.8560352	486.9331572	626.9292817	583.7544124	722.4669808	725.9458573	747.2561265	670.1915447	608.3201999	627.6802712	373.0122503
19A	1137.282663	1038.927515	1607.440791	2017.98185	1080.126069	1374.157661	1446.373549	1535.303562	722.8380473	0	2007.649898	1018.620284	182.3733162	602.8058912	727.0045502	446.3431141	657.184037	533.8505658	132.8670957	NA	2246.06602	193.6325901	1989.088936	1665.835983	962.7988301	1656.91864	444.4611887	656.4038971	551.7898981	113.9820121	235.9048901	95.90876559	139.0836349	0.371066491	3.107810009	24.41807921	52.64650259	114.5178474	95.15777609	349.825797
