	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0	0.00014707	0.000142706	7.91E-05	0.000347733	0.000027918	0.000046401	0.000078566	0.00007295	0.000420775	0.000267316	0.000347347	0.000310071	0.000105531	0.000168357	0.000309975	0.000300376	0.00036149	0.000116016	NA	0.000147766	0.000147563	0.000035806	0.000107987	0.000089484	0.000913427	0.000440212	0.000436281	0.000581474	0.000307605	0.00046235	0.000537021	0.000395268	0.000246461	0.000234375	0.000235851	0.000265287	0.000332411	0.0003328	0.000740136
21B	0.00014707	0	4.36E-06	6.80E-05	0.000200663	0.000119152	0.000100669	0.000068504	0.00007412	0.000273705	0.000120246	0.000200277	0.000163001	0.000252601	0.000021287	0.000162905	0.000153306	0.00021442	0.000263086	NA	6.96E-07	0.000294633	0.000182876	0.000039083	0.000057586	0.000766357	0.000293142	0.000289211	0.000434404	0.000160535	0.00031528	0.000389951	0.000248198	0.000099391	0.000087305	0.000088781	0.000118217	0.000185341	0.00018573	0.000593066
20A	0.000142706	4.36E-06	0	6.36E-05	0.000205027	0.000114788	0.000096305	0.00006414	0.000069756	0.000278069	0.00012461	0.000204641	0.000167365	0.000248237	0.000025651	0.000167269	0.00015767	0.000218784	0.000258722	NA	5.06E-06	0.000290269	0.000178512	0.000034719	0.000053222	0.000770721	0.000297506	0.000293575	0.000438768	0.000164899	0.000319644	0.000394315	0.000252562	0.000103755	0.000091669	0.000093145	0.000122581	0.000189705	0.000190094	0.00059743
17A	7.91E-05	6.80E-05	6.36E-05	0	0.000268648	5.12E-05	3.27E-05	5.19E-07	6.13E-06	0.00034169	0.000188231	0.000268262	0.000230986	0.000184616	8.93E-05	0.00023089	0.000221291	0.000282405	0.000195101	NA	6.87E-05	0.000226648	0.000114891	2.89E-05	1.04E-05	0.000834342	0.000361127	0.000357196	0.000502389	0.00022852	0.000383265	0.000457936	0.000316183	0.000167376	0.00015529	0.000156766	0.000186202	0.000253326	0.000253715	0.000661051
24A	0.000347733	0.000200663	0.000205027	0.000268648	0	0.000319815	0.000301332	0.000269167	0.000274783	7.30E-05	8.04E-05	3.86E-07	3.77E-05	0.000453264	0.000179376	3.78E-05	4.74E-05	1.38E-05	0.00046375	NA	0.000199967	0.000495297	0.000383539	0.000239746	0.000258249	0.000565694	9.25E-05	8.85E-05	0.000233741	4.01E-05	0.000114617	0.000189288	4.75E-05	0.000101272	0.000113358	0.000111882	8.24E-05	1.53E-05	1.49E-05	0.000392403
39C	0.000027918	0.000119152	0.000114788	5.12E-05	0.000319815	0	0.000018483	0.000050648	0.000045032	0.000392857	0.000239398	0.000319429	0.000282153	0.000133449	0.000140439	0.000282057	0.000272458	0.000333572	0.000143934	NA	0.000119848	0.000175481	0.000063724	0.000080069	0.000061566	0.000885509	0.000412294	0.000408363	0.000553556	0.000279687	0.000434432	0.000509103	0.00036735	0.000218543	0.000206457	0.000207933	0.000237369	0.000304493	0.000304882	0.000712218
14B	0.000046401	0.000100669	0.000096305	3.27E-05	0.000301332	0.000018483	0	0.000032165	0.000026549	0.000374374	0.000220915	0.000300946	0.00026367	0.000151932	0.000121956	0.000263574	0.000253975	0.000315089	0.000162417	NA	0.000101365	0.000193964	0.000082207	0.000061586	0.000043083	0.000867026	0.000393811	0.00038988	0.000535073	0.000261204	0.000415949	0.00049062	0.000348867	0.00020006	0.000187974	0.00018945	0.000218886	0.00028601	0.000286399	0.000693735
16A	0.000078566	0.000068504	0.00006414	5.19E-07	0.000269167	0.000050648	0.000032165	0	5.62E-06	0.000342209	0.00018875	0.000268781	0.000231505	0.000184097	0.000089791	0.000231409	0.00022181	0.000282924	0.000194582	NA	0.0000692	0.000226129	0.000114372	0.000029421	0.000010918	0.000834861	0.000361646	0.000357715	0.000502908	0.000229039	0.000383784	0.000458455	0.000316702	0.000167895	0.000155809	0.000157285	0.000186721	0.000253845	0.000254234	0.00066157
46B	0.00007295	0.00007412	0.000069756	6.13E-06	0.000274783	0.000045032	0.000026549	5.62E-06	0	0.000347825	0.000194366	0.000274397	0.000237121	0.000178481	0.000095407	0.000237025	0.000227426	0.00028854	0.000188966	NA	0.000074816	0.000220513	0.000108756	0.000035037	0.000016534	0.000840477	0.000367262	0.000363331	0.000508524	0.000234655	0.0003894	0.000464071	0.000322318	0.000173511	0.000161425	0.000162901	0.000192337	0.000259461	0.00025985	0.000667186
19A	0.000420775	0.000273705	0.000278069	0.00034169	7.30E-05	0.000392857	0.000374374	0.000342209	0.000347825	0	0.000153459	7.34E-05	0.000110704	0.000526306	0.000252418	0.0001108	0.000120399	5.93E-05	0.000536792	NA	0.000273009	0.000568338	0.000456581	0.000312788	0.000331291	0.000492652	1.94E-05	1.55E-05	0.000160699	0.00011317	4.16E-05	0.000116246	2.55E-05	0.000174314	0.0001864	0.000184924	0.000155488	8.84E-05	8.80E-05	0.000319361
06C	0.000267316	0.000120246	0.00012461	0.000188231	8.04E-05	0.000239398	0.000220915	0.00018875	0.000194366	0.000153459	0	0.000080031	4.28E-05	0.000372847	0.000098959	4.27E-05	3.31E-05	9.42E-05	0.000383332	NA	0.00011955	0.000414879	0.000303122	0.000159329	0.000177832	0.000646111	0.000172896	0.000168965	0.000314158	0.000040289	0.000195034	0.000269705	0.000127952	0.000020855	0.000032941	0.000031465	2.03E-06	0.000065095	0.000065484	0.00047282
02A	0.000347347	0.000200277	0.000204641	0.000268262	3.86E-07	0.000319429	0.000300946	0.000268781	0.000274397	7.34E-05	0.000080031	0	3.73E-05	0.000452878	0.00017899	3.74E-05	4.70E-05	1.41E-05	0.000463363	NA	0.000199581	0.00049491	0.000383153	0.00023936	0.000257863	0.00056608	0.000092865	0.000088934	0.000234127	0.000039742	0.000115003	0.000189674	0.000047921	0.000100886	0.000112972	0.000111496	0.00008206	0.000014936	0.000014547	0.000392789
08A	0.000310071	0.000163001	0.000167365	0.000230986	3.77E-05	0.000282153	0.00026367	0.000231505	0.000237121	0.000110704	4.28E-05	3.73E-05	0	0.000415602	0.000141714	9.58E-08	9.69E-06	5.14E-05	0.000426087	NA	0.000162305	0.000457634	0.000345877	0.000202084	0.000220587	0.000603356	0.000130141	0.00012621	0.000271403	2.47E-06	0.000152279	0.00022695	8.52E-05	6.36E-05	7.57E-05	7.42E-05	4.48E-05	2.23E-05	2.27E-05	0.000430065
