	i	j	outcome	dist	i.clade	j.clade	WB	RI	RNI	ASYM
1	10A	20A	10A	100	Psyr	Psyr	W	0	0	1
2	10A	21B	10A	100	Psyr	Psyr	W	0	0	1
3	10A	17A	RI	99.9	Psyr	Psyr	W	1	0	0
4	10A	39C	10A	99.5	Psyr	Psyr	W	0	0	1
5	10A	16A	16A	99.3	Psyr	Psyr	W	0	0	1
6	10A	14B	RI	99.3	Psyr	Psyr	W	1	0	0
7	10A	46B	10A	91.1	Psyr	Psyr	W	0	0	1
8	10A	02A	02A	91.7	Psyr	Psyr	W	0	0	1
9	10A	08A	08A	91.7	Psyr	Psyr	W	0	0	1
10	10A	06C	06C	91.7	Psyr	Psyr	W	0	0	1
11	10A	4326	10A	91.7	Psyr	Psyr	W	0	0	1
12	10A	19A	10A	91.8	Psyr	Psyr	W	0	0	1
13	10A	07A	07A	90.1	Psyr	Psyr	W	0	0	1
14	10A	22D	RI	90	Psyr	Psyr	W	1	0	0
15	10A	22B	RI	90	Psyr	Psyr	W	1	0	0
16	10A	26B	RI	90.4	Psyr	Psyr	W	1	0	0
17	10A	22C	RI	86.1	Psyr	Psyr	W	1	0	0
18	10A	39F	10A	86.5	Psyr	Psyr	W	0	0	1
19	10A	08C	10A	86.2	Psyr	Psyr	W	0	0	1
20	10A	23A	RI	86.3	Psyr	Psyr	W	1	0	0
21	10A	24C	RI	86.4	Psyr	Psyr	W	1	0	0
22	10A	21A	RI	86.7	Psyr	Psyr	W	1	0	0
23	10A	20B	RI	86.7	Psyr	Psyr	W	1	0	0
24	10A	08B	08B	85.7	Psyr	Psyr	W	0	0	1
25	10A	36A	RI	85.2	Psyr	Pflu	B	1	0	0
26	10A	06B	06B	85.2	Psyr	Pflu	B	0	0	1
27	10A	07B	07B	85.2	Psyr	Pflu	B	0	0	1
28	10A	43A	43A	85.2	Psyr	Pflu	B	0	0	1
29	10A	29A	29A	85	Psyr	Pflu	B	0	0	1
30	10A	39A	39A	85.8	Psyr	Pflu	B	0	0	1
31	10A	34A	34A	85.7	Psyr	Pflu	B	0	0	1
32	10A	27A	27A	85.7	Psyr	Pflu	B	0	0	1
33	10A	36B	36B	85.7	Psyr	Pflu	B	0	0	1
34	10A	33E	33E	85.7	Psyr	Pflu	B	0	0	1
35	10A	13A	13A	85.7	Psyr	Pflu	B	0	0	1
36	10A	03A	03A	85.6	Psyr	Pflu	B	0	0	1
37	10A	06A	06A	85.6	Psyr	Pflu	B	0	0	1
38	10A	46A	46A	85.5	Psyr	Pflu	B	0	0	1
39	20A	21B	RI	100	Psyr	Psyr	W	1	0	0
40	20A	17A	20A	100	Psyr	Psyr	W	0	0	1
41	20A	24A	RI	99.5	Psyr	Psyr	W	1	0	0
42	20A	39C	RI	99.5	Psyr	Psyr	W	1	0	0
43	20A	16A	16A	99.3	Psyr	Psyr	W	0	0	1
44	20A	14B	RI	99.3	Psyr	Psyr	W	1	0	0
45	20A	46B	RI	91.1	Psyr	Psyr	W	1	0	0
46	20A	02A	02A	91.7	Psyr	Psyr	W	0	0	1
47	20A	08A	08A	91.7	Psyr	Psyr	W	0	0	1
48	20A	06C	06C	91.7	Psyr	Psyr	W	0	0	1
49	20A	4326	RI	91.7	Psyr	Psyr	W	1	0	0
50	20A	19A	RI	91.8	Psyr	Psyr	W	1	0	0
51	20A	07A	07A	90.1	Psyr	Psyr	W	0	0	1
52	20A	22D	RI	90	Psyr	Psyr	W	1	0	0
53	20A	22B	RI	90	Psyr	Psyr	W	1	0	0
54	20A	26B	RI	90.4	Psyr	Psyr	W	1	0	0
55	20A	22C	RI	86.1	Psyr	Psyr	W	1	0	0
56	20A	39F	RI	86.5	Psyr	Psyr	W	1	0	0
57	20A	08C	RI	86.2	Psyr	Psyr	W	1	0	0
58	20A	23A	20A	86.3	Psyr	Psyr	W	0	0	1
59	20A	24C	24C	86.4	Psyr	Psyr	W	0	0	1
60	20A	21A	RNI	86.7	Psyr	Psyr	W	0	1	0
61	20A	20B	20B	86.7	Psyr	Psyr	W	0	0	1
62	20A	08B	08B	85.7	Psyr	Psyr	W	0	0	1
63	20A	36A	36A	85.2	Psyr	Pflu	B	0	0	1
64	20A	06B	06B	85.2	Psyr	Pflu	B	0	0	1
65	20A	07B	07B	85.2	Psyr	Pflu	B	0	0	1
66	20A	43A	RI	85.2	Psyr	Pflu	B	1	0	0
67	20A	29A	29A	85	Psyr	Pflu	B	0	0	1
68	20A	39A	39A	85.8	Psyr	Pflu	B	0	0	1
69	20A	34A	34A	85.7	Psyr	Pflu	B	0	0	1
70	20A	27A	27A	85.7	Psyr	Pflu	B	0	0	1
71	20A	36B	36B	85.7	Psyr	Pflu	B	0	0	1
72	20A	33E	33E	85.7	Psyr	Pflu	B	0	0	1
73	20A	13A	13A	85.7	Psyr	Pflu	B	0	0	1
74	20A	03A	03A	85.6	Psyr	Pflu	B	0	0	1
75	20A	06A	RI	85.6	Psyr	Pflu	B	1	0	0
76	20A	46A	46A	85.5	Psyr	Pflu	B	0	0	1
77	21B	17A	RNI	100	Psyr	Psyr	W	0	1	0
78	21B	24A	RI	99.5	Psyr	Psyr	W	1	0	0
79	21B	39C	RI	99.5	Psyr	Psyr	W	1	0	0
80	21B	16A	16A	99.3	Psyr	Psyr	W	0	0	1
81	21B	14B	21B	99.3	Psyr	Psyr	W	0	0	1
82	21B	46B	RI	91.1	Psyr	Psyr	W	1	0	0
83	21B	02A	RNI	91.7	Psyr	Psyr	W	0	1	0
84	21B	08A	08A	91.7	Psyr	Psyr	W	0	0	1
85	21B	06C	06C	91.7	Psyr	Psyr	W	0	0	1
86	21B	4326	RI	91.7	Psyr	Psyr	W	1	0	0
87	21B	19A	19A	91.8	Psyr	Psyr	W	0	0	1
88	21B	07A	RNI	90.1	Psyr	Psyr	W	0	1	0
89	21B	22D	RI	90	Psyr	Psyr	W	1	0	0
90	21B	22B	RI	90	Psyr	Psyr	W	1	0	0
91	21B	26B	26B	90.4	Psyr	Psyr	W	0	0	1
92	21B	22C	22C	86.1	Psyr	Psyr	W	0	0	1
93	21B	39F	RI	86.5	Psyr	Psyr	W	1	0	0
94	21B	08C	RI	86.2	Psyr	Psyr	W	1	0	0
95	21B	23A	21B	86.3	Psyr	Psyr	W	0	0	1
96	21B	24C	RNI	86.4	Psyr	Psyr	W	0	1	0
97	21B	21A	RI	86.7	Psyr	Psyr	W	1	0	0
98	21B	20B	RI	86.7	Psyr	Psyr	W	1	0	0
