STRAIN.ID	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
21B	0	0	0	0	1	0	1	1	0	1	1	2	2	0	1	1	0	1	0	0	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
20A	1	2	0	2	1	1	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
17A	0	0	0	1	1	0	1	2	1	1	2	2	2	0	0	2	1	1	0	1	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
24A	NA	0	0	0	0	0	1	1	0	1	0	2	1	0	2	1	1	2	0	0	1	0	1	1	0	2	NA	NA	2	2	NA	2	2	NA	NA	2	NA	2	2	NA
39C	1	2	0	1	2	0	2	2	1	2	2	2	2	0	2	2	1	2	1	1	0	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
14B	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
16A	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
46B	0	0	0	0	0	2	1	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2
19A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	0	2	2	2	2	2	2	2	2	2	2	1
06C	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
02A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
08A	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
4326	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
22D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
07A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
22B	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	1	1	0	0	2	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
26B	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
39F	2	2	0	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
22C	0	0	0	0	1	0	0	1	0	1	0	2	1	0	0	1	1	2	1	1	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
08C	2	2	2	2	2	2	2	2	0	1	2	2	0	2	2	2	1	2	1	2	0	1	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
