	mu.mm	lambda.mm	A.mm	int.mm	mu.kb	lambda.kb	A.kb	int.kb	clade	phylo.pos.new	phylo.pos.old	c.i	c.h	c.dom	c.w	c.mu	c.t	c.r	field.abund	log.field	kb.c.h	kb.c.i	dmg	gh.mock	gh.ja	gh.sa	d.ja	d.sa	persist
10A	0.000172931	1607.800373	0.547832629	872.2442195	0.001081334	299.3	0.632	1211	Psyr	1	1	0.171052632	0.41025641	0.118421053	-0.418690958	-2421.144608	0	0.769230769	750	2.875	0.08	0.56	0	NA	NA	NA	NA	NA	NA
21B	0.000320001	1509.445225	0.588491352	929.1889021	0.001209737	306.8	0.682	1301	Psyr	2	3	0.166666667	0.423076923	0.141025641	-0.41025641	-1282.047276	0	0.923076923	775000	5.889	0.32	0.583	1	NA	NA	NA	NA	NA	NA
20A	0.000315637	2077.958501	0.578328529	699.7289462	0.001110568	318.8	0.708	1326	Psyr	3	2	0.064102564	0.08974359	0	-0.846153846	-2680.78155	0	0.692307692	600000	5.778	0.04	0.2	1	3.471674493	3.966789286	3.193764264	0.142615558	-0.080050774	5.237
17A	0.000252016	2488.49956	0.278534069	211.1330604	0.000968075	403.7	0.711	1332	Psyr	4	4	0.166666667	0.307692308	0.128205128	-0.525641026	-2085.744658	0	0.846153846	500	2.699	0.25	0.68	0	NA	NA	NA	NA	NA	NA
24A	0.000520664	1550.643778	0.707814893	893.065416	0.000988433	281	0.807	1545	Psyr	5	5	0.282051282	0.5	0.205128205	-0.217948718	-418.5976329	0	0.833333333	750000	5.875	0.2	0.44	1	NA	NA	NA	NA	NA	NA
39C	0.000200849	1844.675371	0.710799649	776.4786378	0.001083381	275.4	0.664	1298	Psyr	6	6	0.179487179	0.192307692	0.115384615	-0.628205128	-3127.748349	0	0.923076923	125000	5.097	0.2	0.56	1	NA	NA	NA	NA	NA	NA
14B	0.000219332	1916.891259	0.577039068	791.7764052	0.00086963	277.5	0.578	1235	Psyr	7	8	0.294871795	0.525641026	0.269230769	-0.179487179	-818.3355802	0	0.846153846	1750	3.243	NA	NA	1	NA	NA	NA	NA	NA	NA
16A	0.000251497	2005.821272	0.554129198	702.4772955	0.000946854	307.1	0.627	1275	Psyr	8	7	0.346153846	0.538461538	0.307692308	-0.115384615	-458.7912197	0	0.461538462	1600000	6.204	NA	NA	1	NA	NA	NA	NA	NA	NA
46B	0.000245881	1193.355757	0.342011231	719.8182598	0.001403325	327.7	0.92	1816	Psyr	9	9	0.038461538	0.192307692	0.012820513	-0.769230769	-3128.467711	0	1	875000	5.942	0.52	0.261	1	1.731416561	1.811500427	1.873884544	0.046253379	0.082284059	0
19A	0.000593706	470.5177099	0.369849259	898.2888102	0.001036178	241.5	0.747	1481	Psyr	10	14	0.192307692	0.641025641	0.192307692	-0.166666667	-280.7225574	0	0.230769231	2250	3.352	0.16	0.583	1	NA	NA	NA	NA	NA	NA
06C	0.000440247	2478.167608	0.443563351	963.3304598	0.001287392	281.6	0.826	1663	Psyr	11	12	0.307692308	0.564102564	0.294871795	-0.128205128	-291.2118157	0	0.846153846	250	2.398	NA	NA	0	NA	NA	NA	NA	NA	NA
