	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0	0.040658723	0.0304959	0.26929856	0.159982264	0.16296702	0.029206439	0.006296569	0.205821397	0.17798337	0.104269277	0.111524103	0.117007287	0.400500609	0.18960073	0.1572717	0.134882855	0.074614734	0.513229516	NA	0.23350118	0.519324316	0.102163921	0.152698269	0.140025128	0.103194048	0.063949015	0.099178206	0.001133093	0.066590502	0.017322525	0.042048197	0.161374281	0.039122841	0.048436341	0.033272774	0.000462665	0.020385649	0.008972993	0.190204207
21B	0.040658723	0	0.010162823	0.309957283	0.119323541	0.122308297	0.011452284	0.034362154	0.246480121	0.218642093	0.144928001	0.152182827	0.15766601	0.441159332	0.230259453	0.197930423	0.175541578	0.115273457	0.553888239	NA	0.274159903	0.559983039	0.142822644	0.193356992	0.180683851	0.062535325	0.104607738	0.139836929	0.03952563	0.107249225	0.023336198	0.08270692	0.202033004	0.079781564	0.089095064	0.073931497	0.040196058	0.061044372	0.049631716	0.23086293
20A	0.0304959	0.010162823	0	0.29979446	0.129486364	0.13247112	0.001289461	0.024199331	0.236317298	0.20847927	0.134765178	0.142020004	0.147503187	0.430996509	0.22009663	0.1877676	0.165378755	0.105110634	0.543725416	NA	0.26399708	0.549820216	0.132659821	0.183194169	0.170521028	0.072698148	0.094444915	0.129674106	0.029362807	0.097086402	0.013173375	0.072544097	0.191870181	0.069618741	0.078932241	0.063768674	0.030033235	0.050881549	0.039468893	0.220700107
17A	0.26929856	0.309957283	0.29979446	0	0.429280824	0.43226558	0.298504999	0.275595129	0.063477163	0.09131519	0.165029283	0.157774457	0.152291273	0.131202049	0.07969783	0.11202686	0.134415705	0.194683826	0.243930956	NA	0.03579738	0.250025755	0.167134639	0.116600291	0.129273432	0.372492608	0.205349545	0.170120354	0.270431653	0.202708058	0.286621085	0.227250363	0.107924279	0.230175719	0.220862219	0.236025786	0.269761225	0.248912911	0.260325567	0.079094353
24A	0.159982264	0.119323541	0.129486364	0.429280824	0	0.002984756	0.130775825	0.153685695	0.365803662	0.337965634	0.264251542	0.271506368	0.276989551	0.560482873	0.349582994	0.317253964	0.294865119	0.234596998	0.67321178	NA	0.393483444	0.67930658	0.262146185	0.312680533	0.300007392	0.056788216	0.223931279	0.25916047	0.158849171	0.226572766	0.142659739	0.202030461	0.321356545	0.199105105	0.208418605	0.193255038	0.159519599	0.180367913	0.168955257	0.350186471
39C	0.16296702	0.122308297	0.13247112	0.43226558	0.002984756	0	0.133760581	0.156670452	0.368788418	0.340950391	0.267236298	0.274491124	0.279974308	0.563467629	0.35256775	0.32023872	0.297849876	0.237581754	0.676196536	NA	0.396468201	0.682291336	0.265130941	0.315665289	0.302992149	0.059772972	0.226916035	0.262145226	0.161833927	0.229557522	0.145644495	0.205015217	0.324341301	0.202089861	0.211403361	0.196239794	0.162504355	0.183352669	0.171940013	0.353171227
14B	0.029206439	0.011452284	0.001289461	0.298504999	0.130775825	0.133760581	0	0.02290987	0.235027837	0.207189809	0.133475717	0.140730543	0.146213726	0.429707048	0.218807169	0.186478139	0.164089294	0.103821173	0.542435955	NA	0.262707619	0.548530755	0.13137036	0.181904708	0.169231567	0.073987609	0.093155454	0.128384645	0.028073346	0.095796941	0.011883914	0.071254636	0.19058072	0.06832928	0.07764278	0.062479213	0.028743774	0.049592088	0.038179432	0.219410646
16A	0.006296569	0.034362154	0.024199331	0.275595129	0.153685695	0.156670452	0.02290987	0	0.212117966	0.184279939	0.110565846	0.117820672	0.123303856	0.406797177	0.195897298	0.163568269	0.141179424	0.080911303	0.519526085	NA	0.239797749	0.525620884	0.10846049	0.158994837	0.146321697	0.09689748	0.070245584	0.105474775	0.005163476	0.072887071	0.011025956	0.048344766	0.16767085	0.04541941	0.05473291	0.039569343	0.005833904	0.026682218	0.015269562	0.196500776
46B	0.205821397	0.246480121	0.236317298	0.063477163	0.365803662	0.368788418	0.235027837	0.212117966	0	0.027838027	0.10155212	0.094297294	0.08881411	0.194679211	0.016220668	0.048549698	0.070938542	0.131206663	0.307408119	NA	0.027679783	0.313502918	0.103657476	0.053123129	0.065796269	0.309015446	0.141872383	0.106643192	0.206954491	0.139230896	0.223143923	0.163773201	0.044447117	0.166698557	0.157385057	0.172548624	0.206284063	0.185435749	0.196848405	0.015617191
19A	0.17798337	0.218642093	0.20847927	0.09131519	0.337965634	0.340950391	0.207189809	0.184279939	0.027838027	0	0.073714093	0.066459267	0.060976083	0.222517238	0.011617359	0.02071167	0.043100515	0.103368636	0.335246146	NA	0.05551781	0.341340945	0.075819449	0.025285102	0.037958242	0.281177419	0.114034355	0.078805164	0.179116463	0.111392868	0.195305895	0.135935173	0.016609089	0.138860529	0.129547029	0.144710596	0.178446035	0.157597721	0.169010377	0.012220837
