	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0.000	0.013	0.321	0.103	0.090	0.218	0.115	0.128	0.218	0.231	0.154	0.192	0.128	0.385	0.205	0.192	0.090	0.154	0.333	0.064	0.244	0.295	0.192	0.141	0.051	0.231	0.244	0.218	0.295	0.423	0.474	0.410	0.590	0.436	0.449	0.577	0.436	0.449	0.474	0.256
21B	0.013	0.000	0.333	0.115	0.077	0.231	0.103	0.115	0.231	0.218	0.141	0.179	0.115	0.397	0.192	0.179	0.077	0.141	0.346	0.051	0.256	0.308	0.205	0.154	0.064	0.218	0.231	0.205	0.282	0.410	0.462	0.397	0.577	0.423	0.436	0.564	0.423	0.436	0.462	0.244
20A	0.321	0.333	0.000	0.218	0.410	0.103	0.436	0.449	0.103	0.551	0.474	0.513	0.449	0.064	0.526	0.513	0.410	0.474	0.013	0.385	0.077	0.026	0.128	0.179	0.269	0.551	0.564	0.538	0.615	0.744	0.795	0.731	0.910	0.756	0.769	0.897	0.756	0.769	0.795	0.577
17A	0.103	0.115	0.218	0.000	0.192	0.115	0.218	0.231	0.115	0.333	0.256	0.295	0.231	0.282	0.308	0.295	0.192	0.256	0.231	0.167	0.141	0.192	0.090	0.038	0.051	0.333	0.346	0.321	0.397	0.526	0.577	0.513	0.692	0.538	0.551	0.679	0.538	0.551	0.577	0.359
24A	0.090	0.077	0.410	0.192	0.000	0.308	0.026	0.038	0.308	0.141	0.064	0.103	0.038	0.474	0.115	0.103	0.000	0.064	0.423	0.026	0.333	0.385	0.282	0.231	0.141	0.141	0.154	0.128	0.205	0.333	0.385	0.321	0.500	0.346	0.359	0.487	0.346	0.359	0.385	0.167
39C	0.218	0.231	0.103	0.115	0.308	0.000	0.333	0.346	0.000	0.449	0.372	0.410	0.346	0.167	0.423	0.410	0.308	0.372	0.115	0.282	0.026	0.077	0.026	0.077	0.167	0.449	0.462	0.436	0.513	0.641	0.692	0.628	0.808	0.654	0.667	0.795	0.654	0.667	0.692	0.474
14B	0.115	0.103	0.436	0.218	0.026	0.333	0.000	0.013	0.333	0.115	0.038	0.077	0.013	0.500	0.090	0.077	0.026	0.038	0.449	0.051	0.359	0.410	0.308	0.256	0.167	0.115	0.128	0.103	0.179	0.308	0.359	0.295	0.474	0.321	0.333	0.462	0.321	0.333	0.359	0.141
16A	0.128	0.115	0.449	0.231	0.038	0.346	0.013	0.000	0.346	0.103	0.026	0.064	0.000	0.513	0.077	0.064	0.038	0.026	0.462	0.064	0.372	0.423	0.321	0.269	0.179	0.103	0.115	0.090	0.167	0.295	0.346	0.282	0.462	0.308	0.321	0.449	0.308	0.321	0.346	0.128
46B	0.218	0.231	0.103	0.115	0.308	0.000	0.333	0.346	0.000	0.449	0.372	0.410	0.346	0.167	0.423	0.410	0.308	0.372	0.115	0.282	0.026	0.077	0.026	0.077	0.167	0.449	0.462	0.436	0.513	0.641	0.692	0.628	0.808	0.654	0.667	0.795	0.654	0.667	0.692	0.474
19A	0.231	0.218	0.551	0.333	0.141	0.449	0.115	0.103	0.449	0.000	0.077	0.038	0.103	0.615	0.026	0.038	0.141	0.077	0.564	0.167	0.474	0.526	0.423	0.372	0.282	0.000	0.013	0.013	0.064	0.192	0.244	0.179	0.359	0.205	0.218	0.346	0.205	0.218	0.244	0.026
06C	0.154	0.141	0.474	0.256	0.064	0.372	0.038	0.026	0.372	0.077	0.000	0.038	0.026	0.538	0.051	0.038	0.064	0.000	0.487	0.090	0.397	0.449	0.346	0.295	0.205	0.077	0.090	0.064	0.141	0.269	0.321	0.256	0.436	0.282	0.295	0.423	0.282	0.295	0.321	0.103
02A	0.192	0.179	0.513	0.295	0.103	0.410	0.077	0.064	0.410	0.038	0.038	0.000	0.064	0.577	0.013	0.000	0.103	0.038	0.526	0.128	0.436	0.487	0.385	0.333	0.244	0.038	0.051	0.026	0.103	0.231	0.282	0.218	0.397	0.244	0.256	0.385	0.244	0.256	0.282	0.064
08A	0.128	0.115	0.449	0.231	0.038	0.346	0.013	0.000	0.346	0.103	0.026	0.064	0.000	0.513	0.077	0.064	0.038	0.026	0.462	0.064	0.372	0.423	0.321	0.269	0.179	0.103	0.115	0.090	0.167	0.295	0.346	0.282	0.462	0.308	0.321	0.449	0.308	0.321	0.346	0.128
4326	0.385	0.397	0.064	0.282	0.474	0.167	0.500	0.513	0.167	0.615	0.538	0.577	0.513	0.000	0.590	0.577	0.474	0.538	0.051	0.449	0.141	0.090	0.192	0.244	0.333	0.615	0.628	0.603	0.679	0.808	0.859	0.795	0.974	0.821	0.833	0.962	0.821	0.833	0.859	0.641
