	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0.000	0.004	0.107	0.004	0.111	0.008	0.124	0.175	0.133	0.021	0.137	0.278	0.175	0.021	0.214	0.201	0.085	0.265	0.021	0.034	0.060	0.021	0.060	0.085	0.034	0.496	0.553	0.474	0.496	0.688	0.684	0.765	0.688	0.711	0.711	0.726	0.711	0.611	0.688	0.513
21B	0.004	0.000	0.103	0.000	0.115	0.013	0.128	0.179	0.128	0.026	0.141	0.282	0.179	0.026	0.218	0.205	0.090	0.269	0.026	0.038	0.064	0.026	0.064	0.090	0.038	0.500	0.557	0.478	0.500	0.692	0.689	0.769	0.692	0.715	0.715	0.731	0.715	0.615	0.692	0.518
20A	0.107	0.103	0.000	0.103	0.218	0.115	0.231	0.282	0.026	0.128	0.244	0.385	0.282	0.128	0.321	0.308	0.192	0.372	0.128	0.141	0.167	0.128	0.167	0.192	0.141	0.603	0.660	0.581	0.603	0.795	0.791	0.872	0.795	0.817	0.817	0.833	0.817	0.718	0.795	0.620
17A	0.004	0.000	0.103	0.000	0.115	0.013	0.128	0.179	0.128	0.026	0.141	0.282	0.179	0.026	0.218	0.205	0.090	0.269	0.026	0.038	0.064	0.026	0.064	0.090	0.038	0.500	0.557	0.478	0.500	0.692	0.689	0.769	0.692	0.715	0.715	0.731	0.715	0.615	0.692	0.518
24A	0.111	0.115	0.218	0.115	0.000	0.103	0.013	0.064	0.244	0.090	0.026	0.167	0.064	0.090	0.103	0.090	0.026	0.154	0.090	0.077	0.051	0.090	0.051	0.026	0.077	0.385	0.442	0.363	0.385	0.577	0.573	0.654	0.577	0.600	0.600	0.615	0.600	0.500	0.577	0.402
39C	0.008	0.013	0.115	0.013	0.103	0.000	0.115	0.167	0.141	0.013	0.128	0.269	0.167	0.013	0.205	0.192	0.077	0.256	0.013	0.026	0.051	0.013	0.051	0.077	0.026	0.487	0.544	0.465	0.487	0.679	0.676	0.756	0.679	0.702	0.702	0.718	0.702	0.603	0.679	0.505
14B	0.124	0.128	0.231	0.128	0.013	0.115	0.000	0.051	0.256	0.103	0.013	0.154	0.051	0.103	0.090	0.077	0.038	0.141	0.103	0.090	0.064	0.103	0.064	0.038	0.090	0.372	0.429	0.350	0.372	0.564	0.560	0.641	0.564	0.587	0.587	0.603	0.587	0.487	0.564	0.389
16A	0.175	0.179	0.282	0.179	0.064	0.167	0.051	0.000	0.308	0.154	0.038	0.103	0.000	0.154	0.038	0.026	0.090	0.090	0.154	0.141	0.115	0.154	0.115	0.090	0.141	0.321	0.378	0.299	0.321	0.513	0.509	0.590	0.513	0.535	0.535	0.551	0.535	0.436	0.513	0.338
46B	0.133	0.128	0.026	0.128	0.244	0.141	0.256	0.308	0.000	0.154	0.269	0.410	0.308	0.154	0.346	0.333	0.218	0.397	0.154	0.167	0.192	0.154	0.192	0.218	0.167	0.628	0.685	0.606	0.628	0.821	0.817	0.897	0.821	0.843	0.843	0.859	0.843	0.744	0.821	0.646
19A	0.021	0.026	0.128	0.026	0.090	0.013	0.103	0.154	0.154	0.000	0.115	0.256	0.154	0.000	0.192	0.179	0.064	0.244	0.000	0.013	0.038	0.000	0.038	0.064	0.013	0.474	0.531	0.452	0.474	0.667	0.663	0.744	0.667	0.689	0.689	0.705	0.689	0.590	0.667	0.492
06C	0.137	0.141	0.244	0.141	0.026	0.128	0.013	0.038	0.269	0.115	0.000	0.141	0.038	0.115	0.077	0.064	0.051	0.128	0.115	0.103	0.077	0.115	0.077	0.051	0.103	0.359	0.416	0.337	0.359	0.551	0.548	0.628	0.551	0.574	0.574	0.590	0.574	0.474	0.551	0.377
02A	0.278	0.282	0.385	0.282	0.167	0.269	0.154	0.103	0.410	0.256	0.141	0.000	0.103	0.256	0.064	0.077	0.192	0.013	0.256	0.244	0.218	0.256	0.218	0.192	0.244	0.218	0.275	0.196	0.218	0.410	0.407	0.487	0.410	0.433	0.433	0.449	0.433	0.333	0.410	0.235
08A	0.175	0.179	0.282	0.179	0.064	0.167	0.051	0.000	0.308	0.154	0.038	0.103	0.000	0.154	0.038	0.026	0.090	0.090	0.154	0.141	0.115	0.154	0.115	0.090	0.141	0.321	0.378	0.299	0.321	0.513	0.509	0.590	0.513	0.535	0.535	0.551	0.535	0.436	0.513	0.338
4326	0.021	0.026	0.128	0.026	0.090	0.013	0.103	0.154	0.154	0.000	0.115	0.256	0.154	0.000	0.192	0.179	0.064	0.244	0.000	0.013	0.038	0.000	0.038	0.064	0.013	0.474	0.531	0.452	0.474	0.667	0.663	0.744	0.667	0.689	0.689	0.705	0.689	0.590	0.667	0.492
22D	0.214	0.218	0.321	0.218	0.103	0.205	0.090	0.038	0.346	0.192	0.077	0.064	0.038	0.192	0.000	0.013	0.128	0.051	0.192	0.179	0.154	0.192	0.154	0.128	0.179	0.282	0.339	0.260	0.282	0.474	0.471	0.551	0.474	0.497	0.497	0.513	0.497	0.397	0.474	0.300
07A	0.201	0.205	0.308	0.205	0.090	0.192	0.077	0.026	0.333	0.179	0.064	0.077	0.026	0.179	0.013	0.000	0.115	0.064	0.179	0.167	0.141	0.179	0.141	0.115	0.167	0.295	0.352	0.273	0.295	0.487	0.483	0.564	0.487	0.510	0.510	0.526	0.510	0.410	0.487	0.312
22B	0.085	0.090	0.192	0.090	0.026	0.077	0.038	0.090	0.218	0.064	0.051	0.192	0.090	0.064	0.128	0.115	0.000	0.179	0.064	0.051	0.026	0.064	0.026	0.000	0.051	0.410	0.467	0.388	0.410	0.603	0.599	0.679	0.603	0.625	0.625	0.641	0.625	0.526	0.603	0.428
26B	0.265	0.269	0.372	0.269	0.154	0.256	0.141	0.090	0.397	0.244	0.128	0.013	0.090	0.244	0.051	0.064	0.179	0.000	0.244	0.231	0.205	0.244	0.205	0.179	0.231	0.231	0.288	0.209	0.231	0.423	0.419	0.500	0.423	0.446	0.446	0.462	0.446	0.346	0.423	0.248
39F	0.021	0.026	0.128	0.026	0.090	0.013	0.103	0.154	0.154	0.000	0.115	0.256	0.154	0.000	0.192	0.179	0.064	0.244	0.000	0.013	0.038	0.000	0.038	0.064	0.013	0.474	0.531	0.452	0.474	0.667	0.663	0.744	0.667	0.689	0.689	0.705	0.689	0.590	0.667	0.492
