	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0.000	0.154	0.077	0.077	0.064	0.154	0.077	0.308	0.231	0.538	0.077	0.077	0.000	0.538	0.385	0.077	0.077	0.462	0.154	0.000	0.154	0.231	0.154	0.154	0.231	0.154	0.077	0.077	0.077	0.231	0.231	0.077	0.769	0.077	0.077	0.692	0.154	0.077	0.154	0.000
21B	0.154	0.000	0.231	0.077	0.090	0.000	0.077	0.462	0.077	0.692	0.077	0.077	0.154	0.692	0.538	0.077	0.077	0.615	0.308	0.154	0.308	0.385	0.000	0.000	0.077	0.308	0.231	0.077	0.231	0.385	0.385	0.231	0.923	0.231	0.231	0.846	0.308	0.231	0.308	0.154
20A	0.077	0.231	0.000	0.154	0.141	0.231	0.154	0.231	0.308	0.462	0.154	0.154	0.077	0.462	0.308	0.154	0.154	0.385	0.077	0.077	0.077	0.154	0.231	0.231	0.308	0.077	0.000	0.154	0.000	0.154	0.154	0.000	0.692	0.000	0.000	0.615	0.077	0.000	0.077	0.077
17A	0.077	0.077	0.154	0.000	0.013	0.077	0.000	0.385	0.154	0.615	0.000	0.000	0.077	0.615	0.462	0.000	0.000	0.538	0.231	0.077	0.231	0.308	0.077	0.077	0.154	0.231	0.154	0.000	0.154	0.308	0.308	0.154	0.846	0.154	0.154	0.769	0.231	0.154	0.231	0.077
24A	0.064	0.090	0.141	0.013	0.000	0.090	0.013	0.372	0.167	0.603	0.013	0.013	0.064	0.603	0.449	0.013	0.013	0.526	0.218	0.064	0.218	0.295	0.090	0.090	0.167	0.218	0.141	0.013	0.141	0.295	0.295	0.141	0.833	0.141	0.141	0.756	0.218	0.141	0.218	0.064
39C	0.154	0.000	0.231	0.077	0.090	0.000	0.077	0.462	0.077	0.692	0.077	0.077	0.154	0.692	0.538	0.077	0.077	0.615	0.308	0.154	0.308	0.385	0.000	0.000	0.077	0.308	0.231	0.077	0.231	0.385	0.385	0.231	0.923	0.231	0.231	0.846	0.308	0.231	0.308	0.154
14B	0.077	0.077	0.154	0.000	0.013	0.077	0.000	0.385	0.154	0.615	0.000	0.000	0.077	0.615	0.462	0.000	0.000	0.538	0.231	0.077	0.231	0.308	0.077	0.077	0.154	0.231	0.154	0.000	0.154	0.308	0.308	0.154	0.846	0.154	0.154	0.769	0.231	0.154	0.231	0.077
16A	0.308	0.462	0.231	0.385	0.372	0.462	0.385	0.000	0.538	0.231	0.385	0.385	0.308	0.231	0.077	0.385	0.385	0.154	0.154	0.308	0.154	0.077	0.462	0.462	0.538	0.154	0.231	0.385	0.231	0.077	0.077	0.231	0.462	0.231	0.231	0.385	0.154	0.231	0.154	0.308
46B	0.231	0.077	0.308	0.154	0.167	0.077	0.154	0.538	0.000	0.769	0.154	0.154	0.231	0.769	0.615	0.154	0.154	0.692	0.385	0.231	0.385	0.462	0.077	0.077	0.000	0.385	0.308	0.154	0.308	0.462	0.462	0.308	1.000	0.308	0.308	0.923	0.385	0.308	0.385	0.231
19A	0.538	0.692	0.462	0.615	0.603	0.692	0.615	0.231	0.769	0.000	0.615	0.615	0.538	0.000	0.154	0.615	0.615	0.077	0.385	0.538	0.385	0.308	0.692	0.692	0.769	0.385	0.462	0.615	0.462	0.308	0.308	0.462	0.231	0.462	0.462	0.154	0.385	0.462	0.385	0.538
06C	0.077	0.077	0.154	0.000	0.013	0.077	0.000	0.385	0.154	0.615	0.000	0.000	0.077	0.615	0.462	0.000	0.000	0.538	0.231	0.077	0.231	0.308	0.077	0.077	0.154	0.231	0.154	0.000	0.154	0.308	0.308	0.154	0.846	0.154	0.154	0.769	0.231	0.154	0.231	0.077
02A	0.077	0.077	0.154	0.000	0.013	0.077	0.000	0.385	0.154	0.615	0.000	0.000	0.077	0.615	0.462	0.000	0.000	0.538	0.231	0.077	0.231	0.308	0.077	0.077	0.154	0.231	0.154	0.000	0.154	0.308	0.308	0.154	0.846	0.154	0.154	0.769	0.231	0.154	0.231	0.077
08A	0.000	0.154	0.077	0.077	0.064	0.154	0.077	0.308	0.231	0.538	0.077	0.077	0.000	0.538	0.385	0.077	0.077	0.462	0.154	0.000	0.154	0.231	0.154	0.154	0.231	0.154	0.077	0.077	0.077	0.231	0.231	0.077	0.769	0.077	0.077	0.692	0.154	0.077	0.154	0.000
4326	0.538	0.692	0.462	0.615	0.603	0.692	0.615	0.231	0.769	0.000	0.615	0.615	0.538	0.000	0.154	0.615	0.615	0.077	0.385	0.538	0.385	0.308	0.692	0.692	0.769	0.385	0.462	0.615	0.462	0.308	0.308	0.462	0.231	0.462	0.462	0.154	0.385	0.462	0.385	0.538
