	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
21B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
20A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
17A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
24A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
39C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
14B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
16A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
46B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
19A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
06C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
02A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
08A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
4326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
22D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
07A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
22B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
26B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
39F	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
22C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
08C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
23A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
24C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
21A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
20B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
08B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.038	0.037	0.351	0.371	0.132	0.595	0.270	0.216	0.237	0.270	0.000	0.028	0.074
36A	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.000	0.099	0.101	0.213	0.233	0.006	0.457	0.132	0.078	0.099	0.132	0.138	0.110	0.064
07B	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.099	0.000	0.001	0.313	0.333	0.093	0.556	0.232	0.178	0.198	0.232	0.038	0.011	0.036
06B	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.101	0.001	0.000	0.314	0.334	0.095	0.558	0.233	0.179	0.200	0.233	0.037	0.009	0.037
43A	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.213	0.313	0.314	0.000	0.020	0.220	0.243	0.081	0.135	0.115	0.081	0.351	0.324	0.277
29A	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.371	0.233	0.333	0.334	0.020	0.000	0.240	0.223	0.101	0.155	0.135	0.101	0.371	0.344	0.297
39A	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.006	0.093	0.095	0.220	0.240	0.000	0.463	0.139	0.085	0.105	0.139	0.132	0.104	0.058
34A	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.457	0.556	0.558	0.243	0.223	0.463	0.000	0.324	0.378	0.358	0.324	0.595	0.567	0.521
36B	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.270	0.132	0.232	0.233	0.081	0.101	0.139	0.324	0.000	0.054	0.033	0.000	0.270	0.242	0.196
13A	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.078	0.178	0.179	0.135	0.155	0.085	0.378	0.054	0.000	0.021	0.054	0.216	0.188	0.142
