	10A	20A	21B	17A	24A	39C	16A	14B	46B	02A	08A	06C	4326	19A	07A	22D	22B	26B	22C	39F	08C	23A	24C	21A	20B	08B	36A	06B	07B	43A	29A	39A	34A	27A	36B	33E	13A	03A	06A	46A
10A	0	172.5152733	56.94468261	661.1111591	20.82119645	95.76558167	169.7669241	80.46781429	152.4259597	176.5995072	83.85697342	91.08624026	573.4050529	26.04459071	65.74884266	175.4944131	78.59504807	112.4096401	NA	818.2567145	651.6106861	807.0140794	419.6040149	274.0336055	206.6025479	486.6785039	103.7593796	223.9627225	60.14493081	71.56365859	273.3610435	258.9110655	25.40386301	201.8213895	148.7605375	204.1318605	120.8895901	209.9895135	243.1285825	72.78677681
20A	172.5152733	0	229.459956	488.5958857	193.3364698	76.74969167	2.74834929	92.04745906	20.08931363	349.1147805	256.3722468	263.6015136	400.8897795	198.5598641	106.7664307	2.979139761	93.92022528	284.9249134	NA	645.7414412	479.0954127	634.498806	247.0887416	101.5183321	34.08727453	659.1937772	276.2746529	396.4779958	112.3703425	244.0789319	445.8763168	431.4263388	147.1114103	374.3366628	321.2758108	376.6471338	293.4048634	382.5047868	415.6438558	99.72849653
21B	56.94468261	229.459956	0	718.0558417	36.12348616	152.7102643	226.7116067	137.4124969	209.3706423	119.6548246	26.91229081	34.14155765	630.3497355	30.9000919	122.6935253	232.4390957	135.5397307	55.46495748	NA	875.2013971	708.5553687	863.958762	476.5486975	330.9782881	263.5472305	429.7338213	46.81469698	167.0180399	117.0896134	14.61897598	216.4163609	201.9663829	82.34854562	144.8767069	91.81585488	147.1871779	63.94490748	153.0448309	186.1838999	129.7314594
17A	661.1111591	488.5958857	718.0558417	0	681.9323555	565.3455774	491.344235	580.6433448	508.6851994	837.7106663	744.9681325	752.1973993	87.70610623	687.1557498	595.3623164	485.616746	582.516111	773.5207992	NA	157.1455554	9.500473015	145.9029203	241.5071442	387.0775536	454.5086112	1147.789663	764.8705387	885.0738816	600.9662283	732.6748177	934.4722026	920.0222246	635.7072961	862.9325486	809.8716966	865.2430196	782.0007492	871.1006726	904.2397416	588.3243823
24A	20.82119645	193.3364698	36.12348616	681.9323555	0	116.5867781	190.5881205	101.2890107	173.2471562	155.7783108	63.03577697	70.26504381	594.2262493	5.22339426	86.57003911	196.3156096	99.41624451	91.58844364	NA	839.077911	672.4318825	827.8352758	440.4252114	294.8548019	227.4237443	465.8573074	82.93818314	203.141526	80.96612726	50.74246214	252.539847	238.089869	46.22505946	181.000193	127.939341	183.310664	100.0683936	189.168317	222.307386	93.60797326
39C	95.76558167	76.74969167	152.7102643	565.3455774	116.5867781	0	74.00134238	15.29776738	56.66037804	272.3650889	179.6225551	186.8518219	477.6394712	121.8101724	30.01673901	79.72883143	17.1705336	208.1752218	NA	722.4911328	555.8451044	711.2484977	323.8384333	178.2680238	110.8369662	582.4440855	199.5249613	319.7283042	35.62065086	167.3292403	369.1266252	354.6766472	70.36171866	297.5869712	244.5261192	299.8974422	216.6551718	305.7550952	338.8941642	22.97880486
16A	169.7669241	2.74834929	226.7116067	491.344235	190.5881205	74.00134238	0	89.29910977	17.34096434	346.3664313	253.6238975	260.8531643	403.6381288	195.8115148	104.0180814	5.727489051	91.17187599	282.1765641	NA	648.4897905	481.843762	637.2471553	249.8370909	104.2666814	36.83562382	656.4454279	273.5263036	393.7296465	109.6219932	241.3305826	443.1279675	428.6779895	144.363061	371.5883135	318.5274615	373.8987845	290.6565141	379.7564375	412.8955065	96.98014724
14B	80.46781429	92.04745906	137.4124969	580.6433448	101.2890107	15.29776738	89.29910977	0	71.95814542	257.0673215	164.3247877	171.5540545	492.9372386	106.512405	14.71897163	95.02659882	1.872766222	192.8774544	NA	737.7889002	571.1428718	726.5462651	339.1362006	193.5657912	126.1347336	567.1463182	184.2271939	304.4305368	20.32288347	152.0314729	353.8288578	339.3788798	55.06395127	282.2892038	229.2283518	284.5996748	201.3574044	290.4573278	323.5963968	7.681037475
46B	152.4259597	20.08931363	209.3706423	508.6851994	173.2471562	56.66037804	17.34096434	71.95814542	0	329.0254669	236.2829331	243.5122	420.9790931	178.4705504	86.67711705	23.06845339	73.83091164	264.8355998	NA	665.8307548	499.1847264	654.5881196	267.1780552	121.6076457	54.17658816	639.1044636	256.1853393	376.3886822	92.2810289	223.9896183	425.7870032	411.3370252	127.0220967	354.2473492	301.1864972	356.5578202	273.3155498	362.4154732	395.5545422	79.6391829
02A	176.5995072	349.1147805	119.6548246	837.7106663	155.7783108	272.3650889	346.3664313	257.0673215	329.0254669	0	92.74253379	85.51326695	750.0045601	150.5549165	242.3483499	352.0939203	255.1945553	64.18986712	NA	994.8562217	828.2101933	983.6135866	596.2035221	450.6331127	383.2020551	310.0789967	72.84012762	47.36321528	236.744438	105.0358486	96.76153628	82.31155828	202.0033702	25.22188228	27.83896972	27.53235328	55.70991712	33.39000628	66.52907528	249.386284
