	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
10A	0	0	0	0.1	0.5	0.5	0.7	0.7	8.9	8.2	8.3	8.3	8.3	8.3	10	9.9	10	9.6	13.5	13.9	13.8	13.7	13.6	13.3	13.3	14.3	14.8	14.8	14.8	14.8	15	14.2	14.3	14.3	14.3	14.3	14.3	14.4	14.4	14.5
21B	0	0	0	0	0.5	0.5	0.7	0.7	8.9	8.2	8.3	8.3	8.3	8.3	10	9.9	10	9.6	13.5	13.9	13.8	13.7	13.6	13.3	13.3	14.3	14.8	14.8	14.8	14.8	15	14.2	14.3	14.3	14.3	14.3	14.3	14.4	14.4	14.5
20A	0	0	0	0	0.5	0.5	0.7	0.7	8.9	8.2	8.3	8.3	8.3	8.3	10	9.9	10	9.6	13.5	13.9	13.8	13.7	13.6	13.3	13.3	14.3	14.8	14.8	14.8	14.8	15	14.2	14.3	14.3	14.3	14.3	14.3	14.4	14.4	14.5
17A	0.1	0	0	0	0.4	0.5	0.6	0.6	8.8	8.2	8.2	8.2	8.2	8.2	9.9	9.9	9.9	9.5	13.4	13.8	13.8	13.7	13.6	13.3	13.3	14.3	14.8	14.8	14.8	14.8	14.9	14.2	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.5
24A	0.5	0.5	0.5	0.4	0	0	0.4	0.4	8.9	8.1	8	8	8	8	9.8	9.7	9.8	9.3	13.4	13.8	13.7	13.6	13.7	13.3	13.3	14.2	14.8	14.8	14.8	14.8	15	14.3	14.5	14.4	14.4	14.4	14.4	14.5	14.5	14.6
39C	0.5	0.5	0.5	0.5	0	0	0.4	0.4	8.9	8.1	8.1	8.1	8.1	8.1	9.9	9.8	9.9	9.4	13.4	13.8	13.7	13.6	13.7	13.3	13.3	14.2	14.8	14.8	14.8	14.8	15	14.3	14.5	14.4	14.4	14.4	14.4	14.5	14.5	14.6
14B	0.7	0.7	0.7	0.6	0.4	0.4	0	0	8.9	8.1	8	8	8	8	9.9	9.9	9.9	9.5	13.5	13.9	13.8	13.7	13.7	13.4	13.4	14.1	14.9	14.9	14.9	14.9	15	14.2	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.7
16A	0.7	0.7	0.7	0.6	0.4	0.4	0	0	8.9	8.1	8	8	8	8	9.9	9.9	9.9	9.5	13.5	13.9	13.8	13.7	13.7	13.4	13.4	14.1	14.9	14.9	14.9	14.9	15	14.2	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.7
46B	8.9	8.9	8.9	8.8	8.9	8.9	8.9	8.9	0	6	6.1	6.1	6.1	6.1	9.9	10.1	9.9	9.9	13.7	14.5	13.5	13.4	13.3	13.9	13.9	15.6	15.4	15.4	15.4	15.7	15.8	15.2	14.9	15	15	15	15	15.1	15.1	15
19A	8.2	8.2	8.2	8.2	8.1	8.1	8.1	8.1	6	0	0.5	0.5	0.5	0.5	10.2	10.3	10.2	10.2	14.1	13.6	13.6	13.4	12.5	13.3	13.3	15.4	14.9	14.9	14.9	14.9	15	14.2	14.8	14.2	14.2	14.2	14.2	14.3	14.3	14.6
06C	8.3	8.3	8.3	8.2	8	8.1	8	8	6.1	0.5	0	0	0	0	10.3	10.3	10.3	10.3	14.1	13.6	13.8	13.6	12.6	13.3	13.3	15.4	15	15	15	15	15.1	14.3	14.9	14.4	14.4	14.4	14.4	14.5	14.5	14.8
02A	8.3	8.3	8.3	8.2	8	8.1	8	8	6.1	0.5	0	0	0	0	10.3	10.3	10.3	10.3	14.1	13.6	13.8	13.6	12.6	13.3	13.3	15.4	15	15	15	15	15.1	14.3	14.9	14.4	14.4	14.4	14.4	14.5	14.5	14.8
08A	8.3	8.3	8.3	8.2	8	8.1	8	8	6.1	0.5	0	0	0	0	10.3	10.3	10.3	10.3	14.1	13.6	13.8	13.6	12.6	13.3	13.3	15.4	15	15	15	15	15.1	14.3	14.9	14.4	14.4	14.4	14.4	14.5	14.5	14.8
4326	8.3	8.3	8.3	8.2	8	8.1	8	8	6.1	0.5	0	0	0	0	10.3	10.3	10.3	10.3	14.1	13.6	13.8	13.6	12.6	13.3	13.3	15.4	15	15	15	15	15.1	14.3	14.9	14.4	14.4	14.4	14.4	14.5	14.5	14.8
22D	10	10	10	9.9	9.8	9.9	9.9	9.9	9.9	10.2	10.3	10.3	10.3	10.3	0	0.6	0.7	5.3	13.5	15	14.4	14.3	13.5	13.9	13.9	16	15.6	15.6	15.6	15.7	15.9	15.9	15.2	15.6	15.6	15.6	15.6	15.7	15.7	16.1
07A	9.9	9.9	9.9	9.9	9.7	9.8	9.9	9.9	10.1	10.3	10.3	10.3	10.3	10.3	0.6	0	0.6	5	13.4	15.2	14.3	14.1	13.4	13.9	13.9	16	15.6	15.6	15.6	15.8	15.9	15.9	15.1	15.7	15.7	15.7	15.7	15.8	15.8	16.2
