r_max,lambda,K_max,clade,strain_id
5e-4,582.14,0.5277,Pf,03A
4.99e-4,562.94,0.5387,Pf,06A
7.45e-4,1020.51,0.5443,Pf,06B
5.98e-4,1123.52,0.4483,Pf,07B
3.86e-4,457.51,0.4992,Pf,13A
3.84e-4,433.61,0.5143,Pf,27A
6.01e-4,691.94,0.5636,Pf,29A
4.18e-4,514.32,0.5485,Pf,33E
5.44e-4,601.72,0.3855,Pf,34A
5.82e-4,905.78,0.4804,Pf,36A
3.94e-4,458.88,0.5088,Pf,36B
6.88e-4,558.29,0.5052,Pf,39A
4.28e-4,564.03,0.4811,Pf,43A
8.85e-4,818.12,0.3564,Pf,46A
5.11e-4,487.88,0.4302,Ps,02A
4.28e-4,661.82,0.4399,Ps,06C
4.6e-4,898.09,0.3894,Ps,07A
4.56e-4,639.24,0.4258,Ps,08A
9.21e-4,845.13,0.6501,Ps,08B
2.97e-4,2453.77,0.313,Ps,08C
3.83e-4,1169.59,0.5471,Ps,10A
2.75e-4,1129.58,0.5773,Ps,14B
3.11e-4,1312.59,0.5548,Ps,16A
2.07e-4,2263.14,0.2785,Ps,17A
5.57e-4,455.15,0.3699,Ps,19A
3.13e-4,1450.36,0.5781,Ps,20A
2.58e-4,1105.15,0.406,Ps,20B
2.66e-4,1281.59,0.3949,Ps,21A
3.01e-4,954.53,0.5882,Ps,21B
4.52e-4,1106.52,0.4122,Ps,22B
3.4e-4,947.6,0.3578,Ps,22D
2.5e-5,651.99,0.0286,Ps,23A
5.01e-4,1530.03,0.7106,Ps,24A
2.45e-4,1593.53,0.4444,Ps,24C
5.13e-4,987.75,0.4722,Ps,26B
4.53e-4,1653.62,0.7112,Ps,39C
5.2e-5,577.02,0.0346,Ps,39F
2.35e-4,421.56,0.3392,Ps,46B
1.1e-4,814.27,0.147,Ps,z4326
