"i","j","outcome","pdist","i_clade","j_clade","WB","RI","RNI","ASYM"
"10A","20A","10A",0,"Psyr","Psyr","W",0,0,1
"10A","21B","RNI",0,"Psyr","Psyr","W",0,1,0
"10A","17A","17A",0.1,"Psyr","Psyr","W",0,0,1
"10A","39C","10A",0.5,"Psyr","Psyr","W",0,0,1
"10A","16A","16A",0.7,"Psyr","Psyr","W",0,0,1
"10A","14B","14B",0.7,"Psyr","Psyr","W",0,0,1
"10A","46B","RNI",8.9,"Psyr","Psyr","W",0,1,0
"10A","02A","02A",8.3,"Psyr","Psyr","W",0,0,1
"10A","08A","08A",8.3,"Psyr","Psyr","W",0,0,1
"10A","06C","06C",8.3,"Psyr","Psyr","W",0,0,1
"10A","4326","10A",8.3,"Psyr","Psyr","W",0,0,1
"10A","19A","RNI",8.2,"Psyr","Psyr","W",0,1,0
"10A","07A","07A",9.9,"Psyr","Psyr","W",0,0,1
"10A","22D","22D",10,"Psyr","Psyr","W",0,0,1
"10A","22B","22B",10,"Psyr","Psyr","W",0,0,1
"10A","26B","26B",9.6,"Psyr","Psyr","W",0,0,1
"10A","22C","22C",13.9,"Psyr","Psyr","W",0,0,1
"10A","39F","10A",13.5,"Psyr","Psyr","W",0,0,1
"10A","08C","10A",13.8,"Psyr","Psyr","W",0,0,1
"10A","23A","10A",13.7,"Psyr","Psyr","W",0,0,1
"10A","24C","RI",13.6,"Psyr","Psyr","W",1,0,0
"10A","21A","RI",13.3,"Psyr","Psyr","W",1,0,0
"10A","20B","RI",13.3,"Psyr","Psyr","W",1,0,0
"10A","08B","08B",14.3,"Psyr","Psyr","W",0,0,1
"10A","36A","36A",14.8,"Psyr","Pflu","B",0,0,1
"10A","06B","06B",14.8,"Psyr","Pflu","B",0,0,1
"10A","07B","07B",14.8,"Psyr","Pflu","B",0,0,1
"10A","43A","43A",14.8,"Psyr","Pflu","B",0,0,1
"10A","29A","29A",15,"Psyr","Pflu","B",0,0,1
"10A","39A","39A",14.2,"Psyr","Pflu","B",0,0,1
"10A","34A","34A",14.3,"Psyr","Pflu","B",0,0,1
"10A","27A","27A",14.3,"Psyr","Pflu","B",0,0,1
"10A","36B","36B",14.3,"Psyr","Pflu","B",0,0,1
"10A","33E","33E",14.3,"Psyr","Pflu","B",0,0,1
"10A","13A","13A",14.3,"Psyr","Pflu","B",0,0,1
"10A","03A","03A",14.4,"Psyr","Pflu","B",0,0,1
"10A","06A","06A",14.4,"Psyr","Pflu","B",0,0,1
