,07A,22D,26B,08A,19A,46B,10A,24A,22A,17A,20A,21B,39C,23A,20B,21A,22C,39F,08B,03A,13A,33E,36B,34A,06B,07B,36A,P.putida.F1,P.putida.BIRD-1,P.putida.GB-1,P.putida.S16,P.putida.HB3267,P.stutzeri.DSM.10701
07A,,99.4,95.0,89.6,89.6,90.0,90.1,90.3,90.3,90.2,90.1,90.1,90.2,85.9,86.2,86.2,84.9,86.7,84.0,84.2,84.3,84.3,84.3,85.0,84.4,84.4,84.4,80.3,80.7,80.6,80.6,80.5,77.7
22D,99.4,,94.7,89.7,89.7,90.2,90.0,90.2,90.2,90.1,90.0,90.0,90.2,85.7,86.1,86.1,85.0,86.5,84.0,84.3,84.4,84.4,84.4,84.9,84.4,84.4,84.4,80.0,80.3,80.3,80.3,80.3,77.6
26B,95.0,94.7,,89.7,89.8,90.2,90.4,90.7,90.7,90.5,90.4,90.4,90.6,86.0,85.8,85.8,84.8,86.8,84.5,84.6,84.7,84.7,84.7,85.0,85.0,85.0,85.0,80.7,80.9,80.6,81.0,81.1,78.2
08A,89.6,89.7,89.7,,99.5,93.8,91.7,92.0,92.0,91.8,91.7,91.7,92.0,86.5,86.7,86.7,86.4,85.9,84.6,85.5,85.6,85.6,85.6,85.0,85.0,85.0,85.0,80.2,80.5,80.2,80.5,80.5,76.8
19A,89.6,89.7,89.8,99.5,,94.0,91.8,92.0,92.0,91.8,91.8,91.8,91.9,86.6,86.8,86.8,86.4,86.0,84.5,85.7,85.8,85.8,85.8,85.1,85.0,85.0,85.0,80.2,80.5,80.2,80.4,80.4,77.1
46B,90.0,90.2,90.2,93.8,94.0,,91.1,91.1,91.1,91.1,91.1,91.1,91.1,86.6,86.1,86.1,85.6,86.3,84.4,84.9,84.9,84.9,84.9,85.1,84.6,84.6,84.6,79.8,80.1,80.3,80.3,80.1,77.2
10A,90.1,90.0,90.4,91.7,91.8,91.1,,99.5,99.5,99.9,100.0,100.0,99.5,86.3,86.7,86.7,86.1,86.5,85.6,85.7,85.7,85.7,85.7,85.7,85.1,85.1,85.1,80.3,80.5,80.4,80.9,80.7,76.9
24A,90.3,90.2,90.7,92.0,92.0,91.1,99.5,,100.0,99.6,99.5,99.5,100.0,86.5,86.7,86.7,86.2,86.6,85.7,85.5,85.7,85.7,85.7,85.5,85.1,85.1,85.1,80.4,80.7,80.5,81.1,80.9,77.0
22A,90.3,90.2,90.7,92.0,92.0,91.1,99.5,100.0,,99.6,99.5,99.5,100.0,86.5,86.7,86.7,86.2,86.6,85.7,85.5,85.7,85.7,85.7,85.5,85.1,85.1,85.1,80.4,80.7,80.5,81.1,80.9,77.0
17A,90.2,90.1,90.5,91.8,91.8,91.1,99.9,99.6,99.6,,100.0,100.0,99.5,86.4,86.7,86.7,86.2,86.6,85.7,85.7,85.7,85.7,85.7,85.7,85.2,85.2,85.2,80.3,80.5,80.4,80.9,80.7,77.0
